# Matter power spectrum P(k) at redshift z=0
# for k=2.09468e-07 to 54.0596 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.556566890705e-04       1.824555287503e+03 
       4.572266263394e-04       1.830562310737e+03 
       4.588019121103e-04       1.836588516236e+03 
       4.603825714050e-04       1.842633988069e+03 
       4.619686293172e-04       1.848698810473e+03 
       4.635601110122e-04       1.854783067843e+03 
       4.651570417257e-04       1.860886844734e+03 
       4.667594467638e-04       1.867010225860e+03 
       4.683673515023e-04       1.873153296083e+03 
       4.699807813857e-04       1.879316140417e+03 
       4.715997619269e-04       1.885498844021e+03 
       4.732243187063e-04       1.891701492200e+03 
       4.748544773715e-04       1.897924170393e+03 
       4.764902636359e-04       1.904166964180e+03 
       4.781317032788e-04       1.910429959270e+03 
       4.797788221442e-04       1.916713241503e+03 
       4.814316461400e-04       1.923016896842e+03 
       4.830902012374e-04       1.929341011374e+03 
       4.847545134703e-04       1.935685671301e+03 
       4.864246089339e-04       1.942050962941e+03 
       4.881005137847e-04       1.948436972719e+03 
       4.897822542388e-04       1.954843787170e+03 
       4.914698565718e-04       1.961271492927e+03 
       4.931633471176e-04       1.967720176722e+03 
       4.948627522672e-04       1.974189925382e+03 
       4.965680984685e-04       1.980680825820e+03 
       4.982794122247e-04       1.987192965035e+03 
       4.999967200939e-04       1.993726430110e+03 
       5.017200486876e-04       2.000281308198e+03 
       5.034494246702e-04       2.006857686527e+03 
       5.051848747578e-04       2.013455652393e+03 
       5.069264257171e-04       2.020075293150e+03 
       5.086741043645e-04       2.026716696214e+03 
       5.104279375649e-04       2.033379949049e+03 
       5.121879522310e-04       2.040065139171e+03 
       5.139541753216e-04       2.046772354136e+03 
       5.157266338410e-04       2.053501681538e+03 
       5.175053548376e-04       2.060253209004e+03 
       5.192903654029e-04       2.067027024189e+03 
       5.210816926702e-04       2.073823214769e+03 
       5.228793638135e-04       2.080641868436e+03 
       5.246834060463e-04       2.087483072897e+03 
       5.264938466203e-04       2.094346915861e+03 
       5.283107128241e-04       2.101233485040e+03 
       5.301340319821e-04       2.108142868138e+03 
       5.319638314531e-04       2.115075152851e+03 
       5.338001386289e-04       2.122030426857e+03 
